id	context	sentence
0-0		This chapter revolves around a young girl named Maisie, who is caught in the middle of her parents' complicated relationships and their various companions.
0-1	This chapter revolves around a young girl named Maisie, who is caught in the middle of her parents' complicated relationships and their various companions.	The chapter begins with Maisie parting from Mrs. Wix, a scene described as being as intense and painful as a visit to the dentist.
0-2	This chapter revolves around a young girl named Maisie, who is caught in the middle of her parents' complicated relationships and their various companions. The chapter begins with Maisie parting from Mrs. Wix, a scene described as being as intense and painful as a visit to the dentist.	Maisie is then collected by her father, Beale Farange, and her former governess, Miss Overmore, who is now her father's companion.
0-3	This chapter revolves around a young girl named Maisie, who is caught in the middle of her parents' complicated relationships and their various companions. The chapter begins with Maisie parting from Mrs. Wix, a scene described as being as intense and painful as a visit to the dentist. Maisie is then collected by her father, Beale Farange, and her former governess, Miss Overmore, who is now her father's companion.	The child recalls previous separations and is aware of the tension and conflicting emotions involved in these transitions.
0-4	This chapter revolves around a young girl named Maisie, who is caught in the middle of her parents' complicated relationships and their various companions. The chapter begins with Maisie parting from Mrs. Wix, a scene described as being as intense and painful as a visit to the dentist. Maisie is then collected by her father, Beale Farange, and her former governess, Miss Overmore, who is now her father's companion. The child recalls previous separations and is aware of the tension and conflicting emotions involved in these transitions.	Maisie's father and Miss Overmore engage in playful banter, which confuses and slightly embarrasses Maisie, as she does not fully understand the adult implications.
0-5	This chapter revolves around a young girl named Maisie, who is caught in the middle of her parents' complicated relationships and their various companions. The chapter begins with Maisie parting from Mrs. Wix, a scene described as being as intense and painful as a visit to the dentist. Maisie is then collected by her father, Beale Farange, and her former governess, Miss Overmore, who is now her father's companion. The child recalls previous separations and is aware of the tension and conflicting emotions involved in these transitions. Maisie's father and Miss Overmore engage in playful banter, which confuses and slightly embarrasses Maisie, as she does not fully understand the adult implications.	She asks questions about their relationship and where Miss Overmore has been during her absence, which are met with evasive responses and jokes.
0-6	This chapter revolves around a young girl named Maisie, who is caught in the middle of her parents' complicated relationships and their various companions. The chapter begins with Maisie parting from Mrs. Wix, a scene described as being as intense and painful as a visit to the dentist. Maisie is then collected by her father, Beale Farange, and her former governess, Miss Overmore, who is now her father's companion. The child recalls previous separations and is aware of the tension and conflicting emotions involved in these transitions. Maisie's father and Miss Overmore engage in playful banter, which confuses and slightly embarrasses Maisie, as she does not fully understand the adult implications. She asks questions about their relationship and where Miss Overmore has been during her absence, which are met with evasive responses and jokes.	Maisie is left with a vague sense of unease, but she does not push for clarity, as she has learned that it's better not to pry into adult matters.
0-7	This chapter revolves around a young girl named Maisie, who is caught in the middle of her parents' complicated relationships and their various companions. The chapter begins with Maisie parting from Mrs. Wix, a scene described as being as intense and painful as a visit to the dentist. Maisie is then collected by her father, Beale Farange, and her former governess, Miss Overmore, who is now her father's companion. The child recalls previous separations and is aware of the tension and conflicting emotions involved in these transitions. Maisie's father and Miss Overmore engage in playful banter, which confuses and slightly embarrasses Maisie, as she does not fully understand the adult implications. She asks questions about their relationship and where Miss Overmore has been during her absence, which are met with evasive responses and jokes. Maisie is left with a vague sense of unease, but she does not push for clarity, as she has learned that it's better not to pry into adult matters.	The chapter ends with a reflection on how Maisie has learned to navigate these complex situations, even mimicking her mother's sharpness when dealing with her own doll, Lisette.
0-8	This chapter revolves around a young girl named Maisie, who is caught in the middle of her parents' complicated relationships and their various companions. The chapter begins with Maisie parting from Mrs. Wix, a scene described as being as intense and painful as a visit to the dentist. Maisie is then collected by her father, Beale Farange, and her former governess, Miss Overmore, who is now her father's companion. The child recalls previous separations and is aware of the tension and conflicting emotions involved in these transitions. Maisie's father and Miss Overmore engage in playful banter, which confuses and slightly embarrasses Maisie, as she does not fully understand the adult implications. She asks questions about their relationship and where Miss Overmore has been during her absence, which are met with evasive responses and jokes. Maisie is left with a vague sense of unease, but she does not push for clarity, as she has learned that it's better not to pry into adult matters. The chapter ends with a reflection on how Maisie has learned to navigate these complex situations, even mimicking her mother's sharpness when dealing with her own doll, Lisette.	Despite her young age, Maisie is starting to understand the complexities of adult relationships and the unspoken rules that govern them.
0-9	This chapter revolves around a young girl named Maisie, who is caught in the middle of her parents' complicated relationships and their various companions. The chapter begins with Maisie parting from Mrs. Wix, a scene described as being as intense and painful as a visit to the dentist. Maisie is then collected by her father, Beale Farange, and her former governess, Miss Overmore, who is now her father's companion. The child recalls previous separations and is aware of the tension and conflicting emotions involved in these transitions. Maisie's father and Miss Overmore engage in playful banter, which confuses and slightly embarrasses Maisie, as she does not fully understand the adult implications. She asks questions about their relationship and where Miss Overmore has been during her absence, which are met with evasive responses and jokes. Maisie is left with a vague sense of unease, but she does not push for clarity, as she has learned that it's better not to pry into adult matters. The chapter ends with a reflection on how Maisie has learned to navigate these complex situations, even mimicking her mother's sharpness when dealing with her own doll, Lisette. Despite her young age, Maisie is starting to understand the complexities of adult relationships and the unspoken rules that govern them.	She is also learning to mask her own confusion and curiosity in order to maintain a sense of harmony and avoid further confusion.
1-0		In this chapter, Maisie and her mother, Ida, sit together in the garden, where Ida tries to explain her decision to leave Maisie behind.
1-1	In this chapter, Maisie and her mother, Ida, sit together in the garden, where Ida tries to explain her decision to leave Maisie behind.	She presents herself as a victim, claiming she has been forced to suffer and is now very ill, possibly planning to go to South Africa for the climate.
1-2	In this chapter, Maisie and her mother, Ida, sit together in the garden, where Ida tries to explain her decision to leave Maisie behind. She presents herself as a victim, claiming she has been forced to suffer and is now very ill, possibly planning to go to South Africa for the climate.	Ida's explanations are confusing and contradictory, but she insists that she is being generous and virtuous in her decision.
1-3	In this chapter, Maisie and her mother, Ida, sit together in the garden, where Ida tries to explain her decision to leave Maisie behind. She presents herself as a victim, claiming she has been forced to suffer and is now very ill, possibly planning to go to South Africa for the climate. Ida's explanations are confusing and contradictory, but she insists that she is being generous and virtuous in her decision.	Maisie tries to appease her mother by mentioning a Captain they met in the Gardens, who spoke highly of Ida.
1-4	In this chapter, Maisie and her mother, Ida, sit together in the garden, where Ida tries to explain her decision to leave Maisie behind. She presents herself as a victim, claiming she has been forced to suffer and is now very ill, possibly planning to go to South Africa for the climate. Ida's explanations are confusing and contradictory, but she insists that she is being generous and virtuous in her decision. Maisie tries to appease her mother by mentioning a Captain they met in the Gardens, who spoke highly of Ida.	However, this only angers Ida, who calls the Captain a cad and berates Maisie for bringing him up.
1-5	In this chapter, Maisie and her mother, Ida, sit together in the garden, where Ida tries to explain her decision to leave Maisie behind. She presents herself as a victim, claiming she has been forced to suffer and is now very ill, possibly planning to go to South Africa for the climate. Ida's explanations are confusing and contradictory, but she insists that she is being generous and virtuous in her decision. Maisie tries to appease her mother by mentioning a Captain they met in the Gardens, who spoke highly of Ida. However, this only angers Ida, who calls the Captain a cad and berates Maisie for bringing him up.	Ida leaves abruptly, leaving Maisie alone until Sir Claude appears.
1-6	In this chapter, Maisie and her mother, Ida, sit together in the garden, where Ida tries to explain her decision to leave Maisie behind. She presents herself as a victim, claiming she has been forced to suffer and is now very ill, possibly planning to go to South Africa for the climate. Ida's explanations are confusing and contradictory, but she insists that she is being generous and virtuous in her decision. Maisie tries to appease her mother by mentioning a Captain they met in the Gardens, who spoke highly of Ida. However, this only angers Ida, who calls the Captain a cad and berates Maisie for bringing him up. Ida leaves abruptly, leaving Maisie alone until Sir Claude appears.	They have dinner together, and afterwards, Sir Claude announces that he is free and they will go to France tomorrow.
1-7	In this chapter, Maisie and her mother, Ida, sit together in the garden, where Ida tries to explain her decision to leave Maisie behind. She presents herself as a victim, claiming she has been forced to suffer and is now very ill, possibly planning to go to South Africa for the climate. Ida's explanations are confusing and contradictory, but she insists that she is being generous and virtuous in her decision. Maisie tries to appease her mother by mentioning a Captain they met in the Gardens, who spoke highly of Ida. However, this only angers Ida, who calls the Captain a cad and berates Maisie for bringing him up. Ida leaves abruptly, leaving Maisie alone until Sir Claude appears. They have dinner together, and afterwards, Sir Claude announces that he is free and they will go to France tomorrow.	He repeats this statement several times, emphasizing his newfound freedom, before kissing Maisie goodnight and sending her upstairs.
2-0		In this chapter, Sir Claude and Maisie have a lengthy conversation over breakfast, which reveals the complexities of their relationship.
2-1	In this chapter, Sir Claude and Maisie have a lengthy conversation over breakfast, which reveals the complexities of their relationship.	Sir Claude is deeply conflicted, feeling both a strong affection for Maisie and a sense of duty towards Mrs. Wix, who he acknowledges has been a positive influence on both of them.
2-2	In this chapter, Sir Claude and Maisie have a lengthy conversation over breakfast, which reveals the complexities of their relationship. Sir Claude is deeply conflicted, feeling both a strong affection for Maisie and a sense of duty towards Mrs. Wix, who he acknowledges has been a positive influence on both of them.	He proposes an unconventional arrangement in which he, Maisie, and Mrs. Beale form a small household together, leaving Mrs. Wix out of the picture.
2-3	In this chapter, Sir Claude and Maisie have a lengthy conversation over breakfast, which reveals the complexities of their relationship. Sir Claude is deeply conflicted, feeling both a strong affection for Maisie and a sense of duty towards Mrs. Wix, who he acknowledges has been a positive influence on both of them. He proposes an unconventional arrangement in which he, Maisie, and Mrs. Beale form a small household together, leaving Mrs. Wix out of the picture.	He asks Maisie to make a difficult choice between staying with him and Mrs. Beale, or remaining with Mrs. Wix.
2-4	In this chapter, Sir Claude and Maisie have a lengthy conversation over breakfast, which reveals the complexities of their relationship. Sir Claude is deeply conflicted, feeling both a strong affection for Maisie and a sense of duty towards Mrs. Wix, who he acknowledges has been a positive influence on both of them. He proposes an unconventional arrangement in which he, Maisie, and Mrs. Beale form a small household together, leaving Mrs. Wix out of the picture. He asks Maisie to make a difficult choice between staying with him and Mrs. Beale, or remaining with Mrs. Wix.	He emphasizes that he and Mrs. Beale are now her de facto parents, due to her biological parents' abandonment.
2-5	In this chapter, Sir Claude and Maisie have a lengthy conversation over breakfast, which reveals the complexities of their relationship. Sir Claude is deeply conflicted, feeling both a strong affection for Maisie and a sense of duty towards Mrs. Wix, who he acknowledges has been a positive influence on both of them. He proposes an unconventional arrangement in which he, Maisie, and Mrs. Beale form a small household together, leaving Mrs. Wix out of the picture. He asks Maisie to make a difficult choice between staying with him and Mrs. Beale, or remaining with Mrs. Wix. He emphasizes that he and Mrs. Beale are now her de facto parents, due to her biological parents' abandonment.	Maisie requests time to think over this proposal, expressing a desire to speak with Mrs. Wix first.
2-6	In this chapter, Sir Claude and Maisie have a lengthy conversation over breakfast, which reveals the complexities of their relationship. Sir Claude is deeply conflicted, feeling both a strong affection for Maisie and a sense of duty towards Mrs. Wix, who he acknowledges has been a positive influence on both of them. He proposes an unconventional arrangement in which he, Maisie, and Mrs. Beale form a small household together, leaving Mrs. Wix out of the picture. He asks Maisie to make a difficult choice between staying with him and Mrs. Beale, or remaining with Mrs. Wix. He emphasizes that he and Mrs. Beale are now her de facto parents, due to her biological parents' abandonment. Maisie requests time to think over this proposal, expressing a desire to speak with Mrs. Wix first.	The chapter ends with Maisie reminding Sir Claude that she was the one who brought him and Mrs. Beale together.
3-0		In this chapter, Mrs. Wix, Sir Claude, and Maisie have a candid discussion about the recent events.
3-1	In this chapter, Mrs. Wix, Sir Claude, and Maisie have a candid discussion about the recent events.	Mrs. Wix reveals that Maisie's mother, Lady Ida, visited her and gave her a ten-pound note, which she interprets as a gesture of kindness and a sign of her approval of Mrs. Wix's role in Maisie's life.
3-2	In this chapter, Mrs. Wix, Sir Claude, and Maisie have a candid discussion about the recent events. Mrs. Wix reveals that Maisie's mother, Lady Ida, visited her and gave her a ten-pound note, which she interprets as a gesture of kindness and a sign of her approval of Mrs. Wix's role in Maisie's life.	Sir Claude, however, laughs at this and questions Lady Ida's motives.
3-3	In this chapter, Mrs. Wix, Sir Claude, and Maisie have a candid discussion about the recent events. Mrs. Wix reveals that Maisie's mother, Lady Ida, visited her and gave her a ten-pound note, which she interprets as a gesture of kindness and a sign of her approval of Mrs. Wix's role in Maisie's life. Sir Claude, however, laughs at this and questions Lady Ida's motives.	"Mrs. Wix insists that Lady Ida's actions are a sign of her recognizing the need for a ""decent"" person in Maisie's life."
3-4	"In this chapter, Mrs. Wix, Sir Claude, and Maisie have a candid discussion about the recent events. Mrs. Wix reveals that Maisie's mother, Lady Ida, visited her and gave her a ten-pound note, which she interprets as a gesture of kindness and a sign of her approval of Mrs. Wix's role in Maisie's life. Sir Claude, however, laughs at this and questions Lady Ida's motives. Mrs. Wix insists that Lady Ida's actions are a sign of her recognizing the need for a ""decent"" person in Maisie's life."	The conversation reveals Sir Claude's fear of both Lady Ida and Mrs. Beale, and his uncertainty about his next steps.
3-5	"In this chapter, Mrs. Wix, Sir Claude, and Maisie have a candid discussion about the recent events. Mrs. Wix reveals that Maisie's mother, Lady Ida, visited her and gave her a ten-pound note, which she interprets as a gesture of kindness and a sign of her approval of Mrs. Wix's role in Maisie's life. Sir Claude, however, laughs at this and questions Lady Ida's motives. Mrs. Wix insists that Lady Ida's actions are a sign of her recognizing the need for a ""decent"" person in Maisie's life. The conversation reveals Sir Claude's fear of both Lady Ida and Mrs. Beale, and his uncertainty about his next steps."	The chapter ends with Sir Claude leaving the room, seemingly to seek some air and solitude to contemplate the situation.
4-0		In this chapter, Maisie is reunited with her stepmother, Mrs. Beale, who showers her with affection and attention, making her feel loved and wanted.
4-1	In this chapter, Maisie is reunited with her stepmother, Mrs. Beale, who showers her with affection and attention, making her feel loved and wanted.	Mrs. Beale's transformation and her new found warmth towards Maisie is a pleasant surprise for the young girl.
4-2	In this chapter, Maisie is reunited with her stepmother, Mrs. Beale, who showers her with affection and attention, making her feel loved and wanted. Mrs. Beale's transformation and her new found warmth towards Maisie is a pleasant surprise for the young girl.	Sir Claude is also present and the three of them discuss their future together.
4-3	In this chapter, Maisie is reunited with her stepmother, Mrs. Beale, who showers her with affection and attention, making her feel loved and wanted. Mrs. Beale's transformation and her new found warmth towards Maisie is a pleasant surprise for the young girl. Sir Claude is also present and the three of them discuss their future together.	Mrs. Beale assures Maisie that she will be well cared for and even promises to accompany her to educational lectures, something new and exciting for Maisie.
4-4	In this chapter, Maisie is reunited with her stepmother, Mrs. Beale, who showers her with affection and attention, making her feel loved and wanted. Mrs. Beale's transformation and her new found warmth towards Maisie is a pleasant surprise for the young girl. Sir Claude is also present and the three of them discuss their future together. Mrs. Beale assures Maisie that she will be well cared for and even promises to accompany her to educational lectures, something new and exciting for Maisie.	There's a sense of unease, however, as they discuss how to manage the reactions of Maisie's parents and her governess, Mrs. Wix.
4-5	In this chapter, Maisie is reunited with her stepmother, Mrs. Beale, who showers her with affection and attention, making her feel loved and wanted. Mrs. Beale's transformation and her new found warmth towards Maisie is a pleasant surprise for the young girl. Sir Claude is also present and the three of them discuss their future together. Mrs. Beale assures Maisie that she will be well cared for and even promises to accompany her to educational lectures, something new and exciting for Maisie. There's a sense of unease, however, as they discuss how to manage the reactions of Maisie's parents and her governess, Mrs. Wix.	Sir Claude assures Maisie that he will handle the situation with Mrs. Wix, leaving Maisie feeling relieved and optimistic about her new life with Mrs. Beale and Sir Claude.
